Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
1,OBJECTID,OBJECTID,Integer,4,n/a,n/a,1.19.0,Mar-23
2,Shape,Shape,Geometry,n/a,n/a,n/a,1.19.0,Mar-23
3,Shape_Length,Shape_Length,Double,8,n/a,n/a,1.19.0,Mar-23
4,Shape_Area,Shape_Area,Double,8,n/a,n/a,1.19.0,Mar-23
5,STATE,State Name,String,250,All,n/a,1.19.0,Mar-23
6,STATEABBRV,State Name Abbreviation,String,20,All,n/a,1.19.0,Mar-23
7,STATEFIPS,State FIPS Code,String,20,All,n/a,1.19.0,Mar-23
8,COUNTY,County Name,String,250,All,n/a,1.19.0,Mar-23
9,COUNTYTYPE,County Type,String,250,All,n/a,1.19.0,Mar-23
10,COUNTYFIPS,County FIPS Code,String,20,All,n/a,1.19.0,Mar-23
11,STCOFIPS,State-County FIPS Code,String,20,All,n/a,1.19.0,Mar-23
12,TRACT,Census Tract,String,20,All,n/a,1.19.0,Mar-23
13,TRACTFIPS,Census Tract FIPS Code,String,20,All,n/a,1.19.0,Mar-23
14,NRI_ID,National Risk Index ID,String,20,All,n/a,1.19.0,Mar-23
15,POPULATION,Population (2020),Integer,4,All,n/a,1.19.0,Mar-23
16,BUILDVALUE,Building Value ($),Double,8,All,n/a,1.19.0,Mar-23
17,AGRIVALUE,Agriculture Value ($),Double,8,All,n/a,1.19.0,Mar-23
18,AREA,Area (sq mi),Double,8,All,n/a,1.19.0,Mar-23
19,RISK_VALUE,National Risk Index - Value - Composite,Double,8,National Risk Index,Value,1.19.0,Mar-23
20,RISK_SCORE,National Risk Index - Score - Composite,Double,8,National Risk Index,Score,1.19.0,Mar-23
21,RISK_RATNG,National Risk Index - Rating - Composite,String,50,National Risk Index,Rating,1.19.0,Mar-23
22,RISK_SPCTL,National Risk Index - State Percentile - Composite,Double,8,National Risk Index,State Percentile,1.19.0,Mar-23
23,EAL_SCORE,Expected Annual Loss - Score - Composite,Double,8,Expected Annual Loss,Score,1.19.0,Mar-23
24,EAL_RATNG,Expected Annual Loss - Rating - Composite,String,50,Expected Annual Loss,Rating,1.19.0,Mar-23
25,EAL_SPCTL,Expected Annual Loss - State Percentile - Composite,Double,8,Expected Annual Loss,State Percentile,1.19.0,Mar-23
26,EAL_VALT,Expected Annual Loss - Total - Composite,Double,8,Expected Annual Loss,Value,1.19.0,Mar-23
27,EAL_VALB,Expected Annual Loss - Building Value - Composite,Double,8,Expected Annual Loss,Value,1.19.0,Mar-23
28,EAL_VALP,Expected Annual Loss - Population - Composite,Double,8,Expected Annual Loss,Value,1.19.0,Mar-23
29,EAL_VALPE,Expected Annual Loss - Population Equivalence - Composite,Double,8,Expected Annual Loss,Value,1.19.0,Mar-23
30,EAL_VALA,Expected Annual Loss - Agriculture Value - Composite,Double,8,Expected Annual Loss,Value,1.19.0,Mar-23
31,ALR_VALB,Expected Annual Loss Rate - Building - Composite,Double,8,Expected Annual Loss Rate,Value,1.19.0,Mar-23
32,ALR_VALP,Expected Annual Loss Rate - Population - Composite,Double,8,Expected Annual Loss Rate,Value,1.19.0,Mar-23
33,ALR_VALA,Expected Annual Loss Rate - Agriculture - Composite,Double,8,Expected Annual Loss Rate,Value,1.19.0,Mar-23
34,ALR_NPCTL,Expected Annual Loss Rate - National Percentile - Composite,Double,8,Expected Annual Loss Rate,National Percentile,1.19.0,Mar-23
35,ALR_VRA_NPCTL,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,Double,8,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate,National Percentile,1.19.0,Mar-23
36,SOVI_SCORE,Social Vulnerability - Score,Double,8,Social Vulnerability,Score,1.19.0,Mar-23
37,SOVI_RATNG,Social Vulnerability - Rating,String,50,Social Vulnerability,Rating,1.19.0,Mar-23
38,SOVI_SPCTL,Social Vulnerability - State Percentile,Double,8,Social Vulnerability,State Percentile,1.19.0,Mar-23
39,RESL_SCORE,Community Resilience - Score,Double,8,Community Resilience,Score,1.19.0,Mar-23
40,RESL_RATNG,Community Resilience - Rating,String,50,Community Resilience,Rating,1.19.0,Mar-23
41,RESL_SPCTL,Community Resilience - State Percentile,Double,8,Community Resilience,State Percentile,1.19.0,Mar-23
42,RESL_VALUE,Community Resilience - Value,Double,8,Community Resilience,Value,1.19.0,Mar-23
43,CRF_VALUE,Community Risk Factor - Value,Double,8,Community Risk Factor,Value,1.19.0,Mar-23
44,AVLN_EVNTS,Avalanche - Number of Events,Double,8,Avalanche,Number of Events,1.19.0,Mar-23
45,AVLN_AFREQ,Avalanche - Annualized Frequency,Double,8,Avalanche,Annualized Frequency,1.19.0,Mar-23
46,AVLN_EXPB,Avalanche - Exposure - Building Value,Double,8,Avalanche,Exposure - Building Value,1.19.0,Mar-23
47,AVLN_EXPP,Avalanche - Exposure - Population,Double,8,Avalanche,Exposure - Population,1.19.0,Mar-23
48,AVLN_EXPPE,Avalanche - Exposure - Population Equivalence,Double,8,Avalanche,Exposure - Population Equivalence,1.19.0,Mar-23
49,AVLN_EXPT,Avalanche - Exposure - Total,Double,8,Avalanche,Exposure - Total,1.19.0,Mar-23
50,AVLN_EXP_AREA,Avalanche - Exposure - Impacted Area (sq mi),Double,8,Avalanche,Exposure - Area,1.19.0,Mar-23
51,AVLN_HLRB,Avalanche - Historic Loss Ratio - Buildings,Double,8,Avalanche,Historic Loss Ratio - Buildings,1.19.0,Mar-23
52,AVLN_HLRP,Avalanche - Historic Loss Ratio - Population,Double,8,Avalanche,Historic Loss Ratio - Population,1.19.0,Mar-23
53,AVLN_HLRR,Avalanche - Historic Loss Ratio - Total Rating,String,50,Avalanche,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
54,AVLN_EALB,Avalanche - Expected Annual Loss - Building Value,Double,8,Avalanche,Expected Annual Loss - Building Value,1.19.0,Mar-23
55,AVLN_EALP,Avalanche - Expected Annual Loss - Population,Double,8,Avalanche,Expected Annual Loss - Population,1.19.0,Mar-23
56,AVLN_EALPE,Avalanche - Expected Annual Loss - Population Equivalence,Double,8,Avalanche,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
57,AVLN_EALT,Avalanche - Expected Annual Loss - Total,Double,8,Avalanche,Expected Annual Loss - Total,1.19.0,Mar-23
58,AVLN_EALS,Avalanche - Expected Annual Loss Score,Double,8,Avalanche,Expected Annual Loss Score,1.19.0,Mar-23
59,AVLN_EALR,Avalanche - Expected Annual Loss Rating,String,50,Avalanche,Expected Annual Loss Rating,1.19.0,Mar-23
60,AVLN_ALRB,Avalanche - Expected Annual Loss Rate - Building,Double,8,Avalanche,Expected Annual Loss Rate - Building,1.19.0,Mar-23
61,AVLN_ALRP,Avalanche - Expected Annual Loss Rate - Population,Double,8,Avalanche,Expected Annual Loss Rate - Population,1.19.0,Mar-23
62,AVLN_ALR_NPCTL,Avalanche - Expected Annual Loss Rate - National Percentile,Double,8,Avalanche,National Percentile,1.19.0,Mar-23
63,AVLN_RISKV,Avalanche - Hazard Type Risk Index Value,Double,8,Avalanche,Hazard Type Risk Index Value,1.19.0,Mar-23
64,AVLN_RISKS,Avalanche - Hazard Type Risk Index Score,Double,8,Avalanche,Hazard Type Risk Index Score,1.19.0,Mar-23
65,AVLN_RISKR,Avalanche - Hazard Type Risk Index Rating,String,50,Avalanche,Hazard Type Risk Index Rating,1.19.0,Mar-23
66,CFLD_EVNTS,Coastal Flooding - Number of Events,Double,8,Coastal Flooding,Number of Events,1.19.0,Mar-23
67,CFLD_AFREQ,Coastal Flooding - Annualized Frequency,Double,8,Coastal Flooding,Annualized Frequency,1.19.0,Mar-23
68,CFLD_EXPB,Coastal Flooding - Exposure - Building Value,Double,8,Coastal Flooding,Exposure - Building Value,1.19.0,Mar-23
69,CFLD_EXPP,Coastal Flooding - Exposure - Population,Double,8,Coastal Flooding,Exposure - Population,1.19.0,Mar-23
70,CFLD_EXPPE,Coastal Flooding - Exposure - Population Equivalence,Double,8,Coastal Flooding,Exposure - Population Equivalence,1.19.0,Mar-23
71,CFLD_EXPT,Coastal Flooding - Exposure - Total,Double,8,Coastal Flooding,Exposure - Total,1.19.0,Mar-23
72,CFLD_EXP_AREA,Coastal Flooding - Exposure - Impacted Area (sq mi),Double,8,Coastal Flooding,Exposure - Area,1.19.0,Mar-23
73,CFLD_HLRB,Coastal Flooding - Historic Loss Ratio - Buildings,Double,8,Coastal Flooding,Historic Loss Ratio - Buildings,1.19.0,Mar-23
74,CFLD_HLRP,Coastal Flooding - Historic Loss Ratio - Population,Double,8,Coastal Flooding,Historic Loss Ratio - Population,1.19.0,Mar-23
75,CFLD_HLRR,Coastal Flooding - Historic Loss Ratio - Total Rating,String,50,Coastal Flooding,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
76,CFLD_EALB,Coastal Flooding - Expected Annual Loss - Building Value,Double,8,Coastal Flooding,Expected Annual Loss - Building Value,1.19.0,Mar-23
