Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
142,ERQK_EALPE,Earthquake - Expected Annual Loss - Population Equivalence,Double,8,Earthquake,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
143,ERQK_EALT,Earthquake - Expected Annual Loss - Total,Double,8,Earthquake,Expected Annual Loss - Total,1.19.0,Mar-23
144,ERQK_EALS,Earthquake - Expected Annual Loss Score,Double,8,Earthquake,Expected Annual Loss Score,1.19.0,Mar-23
145,ERQK_EALR,Earthquake - Expected Annual Loss Rating,String,50,Earthquake,Expected Annual Loss Rating,1.19.0,Mar-23
146,ERQK_ALRB,Earthquake - Expected Annual Loss Rate - Building,Double,8,Earthquake,Expected Annual Loss Rate - Building,1.19.0,Mar-23
147,ERQK_ALRP,Earthquake - Expected Annual Loss Rate - Population,Double,8,Earthquake,Expected Annual Loss Rate - Population,1.19.0,Mar-23
148,ERQK_ALR_NPCTL,Earthquake - Expected Annual Loss Rate - National Percentile,Double,8,Earthquake,National Percentile,1.19.0,Mar-23
149,ERQK_RISKV,Earthquake - Hazard Type Risk Index Value,Double,8,Earthquake,Hazard Type Risk Index Value,1.19.0,Mar-23
150,ERQK_RISKS,Earthquake - Hazard Type Risk Index Score,Double,8,Earthquake,Hazard Type Risk Index Score,1.19.0,Mar-23
151,ERQK_RISKR,Earthquake - Hazard Type Risk Index Rating,String,50,Earthquake,Hazard Type Risk Index Rating,1.19.0,Mar-23
152,HAIL_EVNTS,Hail - Number of Events,Double,8,Hail,Number of Events,1.19.0,Mar-23
153,HAIL_AFREQ,Hail - Annualized Frequency,Double,8,Hail,Annualized Frequency,1.19.0,Mar-23
154,HAIL_EXPB,Hail - Exposure - Building Value,Double,8,Hail,Exposure - Building Value,1.19.0,Mar-23
155,HAIL_EXPP,Hail - Exposure - Population,Double,8,Hail,Exposure - Population,1.19.0,Mar-23
156,HAIL_EXPPE,Hail - Exposure - Population Equivalence,Double,8,Hail,Exposure - Population Equivalence,1.19.0,Mar-23
157,HAIL_EXPA,Hail - Exposure - Agriculture Value,Double,8,Hail,Exposure - Agriculture Value,1.19.0,Mar-23
158,HAIL_EXPT,Hail - Exposure - Total,Double,8,Hail,Exposure - Total,1.19.0,Mar-23
159,HAIL_EXP_AREA,Hail - Exposure - Impacted Area (sq mi),Double,8,Hail,Exposure - Area,1.19.0,Mar-23
160,HAIL_HLRB,Hail - Historic Loss Ratio - Buildings,Double,8,Hail,Historic Loss Ratio - Buildings,1.19.0,Mar-23
161,HAIL_HLRP,Hail - Historic Loss Ratio - Population,Double,8,Hail,Historic Loss Ratio - Population,1.19.0,Mar-23
162,HAIL_HLRA,Hail - Historic Loss Ratio - Agriculture,Double,8,Hail,Historic Loss Ratio - Agriculture,1.19.0,Mar-23
163,HAIL_HLRR,Hail - Historic Loss Ratio - Total Rating,String,50,Hail,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
164,HAIL_EALB,Hail - Expected Annual Loss - Building Value,Double,8,Hail,Expected Annual Loss - Building Value,1.19.0,Mar-23
165,HAIL_EALP,Hail - Expected Annual Loss - Population,Double,8,Hail,Expected Annual Loss - Population,1.19.0,Mar-23
166,HAIL_EALPE,Hail - Expected Annual Loss - Population Equivalence,Double,8,Hail,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
167,HAIL_EALA,Hail - Expected Annual Loss - Agriculture Value,Double,8,Hail,Expected Annual Loss - Agriculture Value,1.19.0,Mar-23
168,HAIL_EALT,Hail - Expected Annual Loss - Total,Double,8,Hail,Expected Annual Loss - Total,1.19.0,Mar-23
169,HAIL_EALS,Hail - Expected Annual Loss Score,Double,8,Hail,Expected Annual Loss Score,1.19.0,Mar-23
170,HAIL_EALR,Hail - Expected Annual Loss Rating,String,50,Hail,Expected Annual Loss Rating,1.19.0,Mar-23
171,HAIL_ALRB,Hail - Expected Annual Loss Rate - Building,Double,8,Hail,Expected Annual Loss Rate - Building,1.19.0,Mar-23
172,HAIL_ALRP,Hail - Expected Annual Loss Rate - Population,Double,8,Hail,Expected Annual Loss Rate - Population,1.19.0,Mar-23
173,HAIL_ALRA,Hail - Expected Annual Loss Rate - Agriculture,Double,8,Hail,Expected Annual Loss Rate - Agriculture,1.19.0,Mar-23
174,HAIL_ALR_NPCTL,Hail - Expected Annual Loss Rate - National Percentile,Double,8,Hail,National Percentile,1.19.0,Mar-23
175,HAIL_RISKV,Hail - Hazard Type Risk Index Value,Double,8,Hail,Hazard Type Risk Index Value,1.19.0,Mar-23
176,HAIL_RISKS,Hail - Hazard Type Risk Index Score,Double,8,Hail,Hazard Type Risk Index Score,1.19.0,Mar-23
177,HAIL_RISKR,Hail - Hazard Type Risk Index Rating,String,50,Hail,Hazard Type Risk Index Rating,1.19.0,Mar-23
178,HWAV_EVNTS,Heat Wave - Number of Events,Double,8,Heat Wave,Number of Events,1.19.0,Mar-23
179,HWAV_AFREQ,Heat Wave - Annualized Frequency,Double,8,Heat Wave,Annualized Frequency,1.19.0,Mar-23
180,HWAV_EXPB,Heat Wave - Exposure - Building Value,Double,8,Heat Wave,Exposure - Building Value,1.19.0,Mar-23
181,HWAV_EXPP,Heat Wave - Exposure - Population,Double,8,Heat Wave,Exposure - Population,1.19.0,Mar-23
182,HWAV_EXPPE,Heat Wave - Exposure - Population Equivalence,Double,8,Heat Wave,Exposure - Population Equivalence,1.19.0,Mar-23
183,HWAV_EXPA,Heat Wave - Exposure - Agriculture Value,Double,8,Heat Wave,Exposure - Agriculture Value,1.19.0,Mar-23
184,HWAV_EXPT,Heat Wave - Exposure - Total,Double,8,Heat Wave,Exposure - Total,1.19.0,Mar-23
185,HWAV_EXP_AREA,Heat Wave - Exposure - Impacted Area (sq mi),Double,8,Heat Wave,Exposure - Area,1.19.0,Mar-23
186,HWAV_HLRB,Heat Wave - Historic Loss Ratio - Buildings,Double,8,Heat Wave,Historic Loss Ratio - Buildings,1.19.0,Mar-23
187,HWAV_HLRP,Heat Wave - Historic Loss Ratio - Population,Double,8,Heat Wave,Historic Loss Ratio - Population,1.19.0,Mar-23
188,HWAV_HLRA,Heat Wave - Historic Loss Ratio - Agriculture,Double,8,Heat Wave,Historic Loss Ratio - Agriculture,1.19.0,Mar-23
189,HWAV_HLRR,Heat Wave - Historic Loss Ratio - Total Rating,String,50,Heat Wave,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
190,HWAV_EALB,Heat Wave - Expected Annual Loss - Building Value,Double,8,Heat Wave,Expected Annual Loss - Building Value,1.19.0,Mar-23
191,HWAV_EALP,Heat Wave - Expected Annual Loss - Population,Double,8,Heat Wave,Expected Annual Loss - Population,1.19.0,Mar-23
192,HWAV_EALPE,Heat Wave - Expected Annual Loss - Population Equivalence,Double,8,Heat Wave,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
193,HWAV_EALA,Heat Wave - Expected Annual Loss - Agriculture Value,Double,8,Heat Wave,Expected Annual Loss - Agriculture Value,1.19.0,Mar-23
194,HWAV_EALT,Heat Wave - Expected Annual Loss - Total,Double,8,Heat Wave,Expected Annual Loss - Total,1.19.0,Mar-23
